algorithm,fold,metric,value
puresvd,1,hit_rate@10,0.3722171323866239
puresvd,1,precision@5,0.04819056344480073
puresvd,1,precision@10,0.046555199267063675
puresvd,1,recall@5,0.0746137359978819
puresvd,1,recall@10,0.13767862584368407
puresvd,1,f1@5,0.05335641939749257
puresvd,1,f1@10,0.06416874784713963
puresvd,1,mrr@5,0.09961978928080624
puresvd,1,mrr@10,0.1201992579746817
puresvd,1,map@5,0.03607200750473955
puresvd,1,map@10,0.04648686356760413
puresvd,1,ndcg@5,0.06496157755779618
puresvd,1,ndcg@10,0.09091577246972442
puresvd,1,ndcg_burges@5,0.06496157755779618
puresvd,1,ndcg_burges@10,0.09091577246972442
userknn,1,hits@5,0.15476408612001832
userknn,1,hits@10,0.3109711406321576
userknn,1,hit_rate@5,0.14269354099862575
userknn,1,hit_rate@10,0.2631241410902428
userknn,1,precision@5,0.030952817224003667
userknn,1,precision@10,0.031097114063215754
userknn,1,recall@5,0.05644940618961035
userknn,1,recall@10,0.11024596677524451
userknn,1,f1@5,0.03642159010644236
userknn,1,f1@10,0.045013068562363874
userknn,1,mrr@5,0.06466407085051153
userknn,1,mrr@10,0.08045416784823564
userknn,1,map@5,0.02593190900725334
userknn,1,map@10,0.03430386055213227
userknn,1,ndcg@5,0.045148420786082936
userknn,1,ndcg@10,0.06662039451327195
userknn,1,ndcg_burges@5,0.045148420786082936
userknn,1,ndcg_burges@10,0.06662039451327195
itemknn,1,hits@5,0.35964269354099865
itemknn,1,hits@10,0.5006871278057718
itemknn,1,hit_rate@5,0.3100778744846541
itemknn,1,hit_rate@10,0.4002977553825011
itemknn,1,precision@5,0.07192853870819972
itemknn,1,precision@10,0.05006871278057719
itemknn,1,recall@5,0.10104931825879108
itemknn,1,recall@10,0.1305854032342091
itemknn,1,f1@5,0.07519419565800768
itemknn,1,f1@10,0.06575170197392362
itemknn,1,mrr@5,0.15924683157734007
itemknn,1,mrr@10,0.17188469341011714
itemknn,1,map@5,0.05558892036267322
itemknn,1,map@10,0.06099090595328176
itemknn,1,ndcg@5,0.09909327249226284
itemknn,1,ndcg@10,0.10790257104449905
itemknn,1,ndcg_burges@5,0.09909327249226284
itemknn,1,ndcg_burges@10,0.10790257104449905
random,2,hits@5,0.030119102153000458
random,2,hits@10,0.06131470453504352
random,2,hit_rate@5,0.02950068712780577
random,2,hit_rate@10,0.05877233165368759
random,2,precision@5,0.006023820430600091
random,2,precision@10,0.006131470453504351
random,2,recall@5,0.005765339463478852
random,2,recall@10,0.011790234385631381
random,2,f1@5,0.005223565760184287
random,2,f1@10,0.007234870437925113
random,2,mrr@5,0.013741029164757976
random,2,mrr@10,0.017528775749114732
random,2,map@5,0.0026947417842532522
random,2,map@10,0.003502073284501967
random,2,ndcg@5,0.006927026818790344
random,2,ndcg@10,0.009092364854761854
random,2,ndcg_burges@5,0.006927026818790344
random,2,ndcg_burges@10,0.009092364854761854
mostpop,2,hits@5,0.3988318827301878
mostpop,2,hits@10,0.6981676591846083
mostpop,2,hit_rate@5,0.29157123224919834
mostpop,2,hit_rate@10,0.4260650480989464
mostpop,2,precision@5,0.07976637654603758
mostpop,2,precision@10,0.06981676591846084
mostpop,2,recall@5,0.11695633525880599
mostpop,2,recall@10,0.18263454453244143
mostpop,2,f1@5,0.08675741183507585
mostpop,2,f1@10,0.09226958224327882
mostpop,2,mrr@5,0.16385822262940908
mostpop,2,mrr@10,0.1809578161696806
mostpop,2,map@5,0.06467902021851801
mostpop,2,map@10,0.07932732851776925
mostpop,2,ndcg@5,0.10935136318698692
mostpop,2,ndcg@10,0.13643853388170285
mostpop,2,ndcg_burges@5,0.10935136318698692
mostpop,2,ndcg_burges@10,0.13643853388170285
mf,2,hits@5,0.3776225377920293
mf,2,hits@10,0.708451672010994
mf,2,hit_rate@5,0.27480531378836465
mf,2,hit_rate@10,0.43820430600091614
mf,2,precision@5,0.07552450755840587
mf,2,precision@10,0.0708451672010994
mf,2,recall@5,0.1131869703653842
mf,2,recall@10,0.18665677968944522
mf,2,f1@5,0.08286881192267416
mf,2,f1@10,0.0938390913693394
mf,2,mrr@5,0.14731409375477172
mf,2,mrr@10,0.16835180216536147
mf,2,map@5,0.06281668128632237
mf,2,map@10,0.07859724510920957
mf,2,ndcg@5,0.10317111394286604
mf,2,ndcg@10,0.13502456419425504
mf,2,ndcg_burges@5,0.10317111394286604
mf,2,ndcg_burges@10,0.13502456419425504
puresvd,2,hits@5,0.27524049473202017
puresvd,2,hits@10,0.5305313788364636
puresvd,2,hit_rate@5,0.23511223087494273
puresvd,2,hit_rate@10,0.3967934035730646
puresvd,2,precision@5,0.05504809894640402
puresvd,2,precision@10,0.053053137883646365
puresvd,2,recall@5,0.08802956060363748
puresvd,2,recall@10,0.1584901605120027
puresvd,2,f1@5,0.062058695763234535
puresvd,2,f1@10,0.07366009430506476
puresvd,2,mrr@5,0.11101733089021223
puresvd,2,mrr@10,0.13233875219044708
puresvd,2,map@5,0.04427871316186478
puresvd,2,map@10,0.057064180071006096
puresvd,2,ndcg@5,0.07561332577415275
puresvd,2,ndcg@10,0.10551785962810824
puresvd,2,ndcg_burges@5,0.07561332577415275
puresvd,2,ndcg_burges@10,0.10551785962810824
userknn,2,hits@5,0.32897388914338066
userknn,2,hits@10,0.5697434722858452
userknn,2,hit_rate@5,0.27524049473202017
userknn,2,hit_rate@10,0.4161016949152542
userknn,2,precision@5,0.06579477782867613
userknn,2,precision@10,0.056974347228584514
userknn,2,recall@5,0.11270773672794651
userknn,2,recall@10,0.18826477182941126
userknn,2,f1@5,0.0767316658915495
userknn,2,f1@10,0.0819574230429484
userknn,2,mrr@5,0.139451824706062
userknn,2,mrr@10,0.1580832406256135
userknn,2,map@5,0.059180521282319334
userknn,2,map@10,0.07330922284811273
userknn,2,ndcg@5,0.09645731338214714
userknn,2,ndcg@10,0.12710137431246415
userknn,2,ndcg_burges@5,0.09645731338214714
userknn,2,ndcg_burges@10,0.12710137431246415
itemknn,2,hits@5,0.44759505267979843
itemknn,2,hits@10,0.567361429225836
itemknn,2,hit_rate@5,0.3370132844709116
itemknn,2,hit_rate@10,0.4050160329821347
itemknn,2,precision@5,0.08951901053595968
itemknn,2,precision@10,0.056736142922583596
itemknn,2,recall@5,0.1246107867281876
itemknn,2,recall@10,0.15035646398612296
itemknn,2,f1@5,0.09476740576011684
itemknn,2,f1@10,0.07572260944078187
itemknn,2,mrr@5,0.18877309512902735
itemknn,2,mrr@10,0.19823274545732175
itemknn,2,map@5,0.07137410868920319
itemknn,2,map@10,0.07692435423808214
itemknn,2,ndcg@5,0.1224209198204794
itemknn,2,ndcg@10,0.1277331105442297
itemknn,2,ndcg_burges@5,0.1224209198204794
itemknn,2,ndcg_burges@10,0.1277331105442297
random,3,hits@5,0.0309894640403115
random,3,hits@10,0.06314704535043518
random,3,hit_rate@5,0.030577187356848372
random,3,hit_rate@10,0.060810810810810814
random,3,precision@5,0.0061978928080623
random,3,precision@10,0.006314704535043518
random,3,recall@5,0.005846675133466931
random,3,recall@10,0.011916084576094442
random,3,f1@5,0.005351064579931486
random,3,f1@10,0.007415479861787979
random,3,mrr@5,0.013712017101847612
random,3,mrr@10,0.017653703946076828
random,3,map@5,0.002593349376584696
random,3,map@10,0.003402620380179822
random,3,ndcg@5,0.006912423330161463
random,3,ndcg@10,0.009153327526668947
random,3,ndcg_burges@5,0.006912423330161463
random,3,ndcg_burges@10,0.009153327526668947
mostpop,3,hits@5,0.21990380210719193
mostpop,3,hits@10,0.39035730645900135
mostpop,3,hit_rate@5,0.16614750343563903
mostpop,3,hit_rate@10,0.252313330279432
mostpop,3,precision@5,0.04398076042143839
mostpop,3,precision@10,0.03903573064590014
mostpop,3,recall@5,0.06924129761240798
mostpop,3,recall@10,0.10880647258802921
mostpop,3,f1@5,0.04974999920173383
mostpop,3,f1@10,0.05299740944868831
mostpop,3,mrr@5,0.0946613986868224
mostpop,3,mrr@10,0.10583238807815079
mostpop,3,map@5,0.039270997004726735
mostpop,3,map@10,0.04748719708304363
mostpop,3,ndcg@5,0.06334883799144787
mostpop,3,ndcg@10,0.08065247846862802
mostpop,3,ndcg_burges@5,0.06334883799144787
mostpop,3,ndcg_burges@10,0.08065247846862802
mf,3,hits@5,0.10996335318369217
mf,3,hits@10,0.2586120018323408
mf,3,hit_rate@5,0.09026568941823179
mf,3,hit_rate@10,0.18605130554283097
mf,3,precision@5,0.021992670636738435
mf,3,precision@10,0.025861200183234085
mf,3,recall@5,0.03680595718249205
mf,3,recall@10,0.08135923500048886
mf,3,f1@5,0.025594930488797515
mf,3,f1@10,0.036690374317542886
mf,3,mrr@5,0.03852916475797832
mf,3,mrr@10,0.0509220691635946
mf,3,map@5,0.017112095464615208
mf,3,map@10,0.025006774089832054
mf,3,ndcg@5,0.02893552592351408
mf,3,ndcg@10,0.048276711192916766
mf,3,ndcg_burges@5,0.02893552592351408
mf,3,ndcg_burges@10,0.048276711192916766
puresvd,3,hits@5,0.1897159871736143
puresvd,3,hits@10,0.409665597801191
puresvd,3,hit_rate@5,0.1653000458085204
puresvd,3,hit_rate@10,0.3136509390746679
puresvd,3,precision@5,0.03794319743472286
puresvd,3,precision@10,0.0409665597801191
puresvd,3,recall@5,0.06109837868408209
puresvd,3,recall@10,0.12139421080248027
puresvd,3,f1@5,0.043093978065723605
puresvd,3,f1@10,0.05688942855900841
puresvd,3,mrr@5,0.07191555962742403
puresvd,3,mrr@10,0.09132089413869075
puresvd,3,map@5,0.02840076593638933
puresvd,3,map@10,0.03878466458403688
puresvd,3,ndcg@5,0.05005909471601745
puresvd,3,ndcg@10,0.07633503701210254
puresvd,3,ndcg_burges@5,0.05005909471601745
puresvd,3,ndcg_burges@10,0.07633503701210254
userknn,3,hits@5,0.32425561154374716
userknn,3,hits@10,0.6022446174988548
userknn,3,hit_rate@5,0.26708657810352726
userknn,3,hit_rate@10,0.42301878149335775
userknn,3,precision@5,0.06485112230874943
userknn,3,precision@10,0.06022446174988547
userknn,3,recall@5,0.09895075411194844
userknn,3,recall@10,0.1764888991935818
userknn,3,f1@5,0.07174709771686553
userknn,3,f1@10,0.0833561667956953
userknn,3,mrr@5,0.1298255458848679
userknn,3,mrr@10,0.1504335812810389
userknn,3,map@5,0.04970471418936136
userknn,3,map@10,0.06450715400272874
userknn,3,ndcg@5,0.08697689154397137
userknn,3,ndcg@10,0.11871306810592741
userknn,3,ndcg_burges@5,0.08697689154397137
userknn,3,ndcg_burges@10,0.11871306810592741
itemknn,3,hits@5,0.32265231333027944
itemknn,3,hits@10,0.49104443426477323
itemknn,3,hit_rate@5,0.247915712322492
itemknn,3,hit_rate@10,0.35073293632615665
itemknn,3,precision@5,0.06453046266605589
itemknn,3,precision@10,0.04910444342647733
itemknn,3,recall@5,0.08765343408223548
itemknn,3,recall@10,0.12253363822625844
itemknn,3,f1@5,0.06721357966931557
itemknn,3,f1@10,0.06408958180984707
itemknn,3,mrr@5,0.12727172087341576
itemknn,3,mrr@10,0.14132626573304538
itemknn,3,map@5,0.04797096388058608
itemknn,3,map@10,0.05471850137261399
itemknn,3,ndcg@5,0.08440942438982703
itemknn,3,ndcg@10,0.09705573450421852
itemknn,3,ndcg_burges@5,0.08440942438982703
itemknn,3,ndcg_burges@10,0.09705573450421852
random,4,hits@5,0.03380668804397618
random,4,hits@10,0.06894182317911131
random,4,hit_rate@5,0.033394411360513056
random,4,hit_rate@10,0.06649106733852496
random,4,precision@5,0.006761337608795236
random,4,precision@10,0.006894182317911132
random,4,recall@5,0.0057619546802114945
random,4,recall@10,0.012077952942735943
random,4,f1@5,0.005625078203353984
random,4,f1@10,0.007970494870754912
random,4,mrr@5,0.01568560085509238
random,4,mrr@10,0.019956245591838815
random,4,map@5,0.002698271706509493
random,4,map@10,0.003535869239531536
random,4,ndcg@5,0.007532016770272786
random,4,ndcg@10,0.009749287868399426
random,4,ndcg_burges@5,0.007532016770272786
random,4,ndcg_burges@10,0.009749287868399426
mostpop,4,hits@5,0.11456710948236372
mostpop,4,hits@10,0.20535959688502062
mostpop,4,hit_rate@5,0.08882272102611086
mostpop,4,hit_rate@10,0.14106733852496564
mostpop,4,precision@5,0.022913421896472747
mostpop,4,precision@10,0.02053595968850206
mostpop,4,recall@5,0.0344941187102204
mostpop,4,recall@10,0.05669574737558287
mostpop,4,f1@5,0.026168096957570646
mostpop,4,f1@10,0.028563298678271263
mostpop,4,mrr@5,0.04143762406474271
mostpop,4,mrr@10,0.04810250019995783
mostpop,4,map@5,0.017402382822933674
mostpop,4,map@10,0.021828479759313745
mostpop,4,ndcg@5,0.02924493977246217
mostpop,4,ndcg@10,0.03943442650389056
mostpop,4,ndcg_burges@5,0.02924493977246217
mostpop,4,ndcg_burges@10,0.03943442650389056
mf,4,hits@5,0.0972514887769125
mf,4,hits@10,0.16122308749427394
mf,4,hit_rate@5,0.07464498396701787
mf,4,hit_rate@10,0.10907008703618873
mf,4,precision@5,0.0194502977553825
mf,4,precision@10,0.016122308749427394
mf,4,recall@5,0.030435585530924514
mf,4,recall@10,0.04844328886452516
mf,4,f1@5,0.022688486849556273
mf,4,f1@10,0.02313992102298465
mf,4,mrr@5,0.0325114521300962
mf,4,mrr@10,0.036982372808644
mf,4,map@5,0.013996641781069746
mf,4,map@10,0.01767574302590682
mf,4,ndcg@5,0.0239846708263413
mf,4,ndcg@10,0.03196652035268278
mf,4,ndcg_burges@5,0.0239846708263413
mf,4,ndcg_burges@10,0.03196652035268278
puresvd,4,hits@5,0.022560696289509848
puresvd,4,hits@10,0.05524507558405863
puresvd,4,hit_rate@5,0.02054512139257902
puresvd,4,hit_rate@10,0.04807604214383875
puresvd,4,precision@5,0.00451213925790197
puresvd,4,precision@10,0.005524507558405865
puresvd,4,recall@5,0.008466314377331327
puresvd,4,recall@10,0.019478345241057102
puresvd,4,f1@5,0.005652334675528253
puresvd,4,f1@10,0.008339927773922702
puresvd,4,mrr@5,0.008188273018781493
puresvd,4,mrr@10,0.011696678518712417
puresvd,4,map@5,0.003588759916090425
puresvd,4,map@10,0.005235174449914159
puresvd,4,ndcg@5,0.00615574825076045
puresvd,4,ndcg@10,0.010954987226732157
puresvd,4,ndcg_burges@5,0.00615574825076045
puresvd,4,ndcg_burges@10,0.010954987226732157
userknn,4,hits@5,0.028836463582226295
userknn,4,hits@10,0.07267521759047182
userknn,4,hit_rate@5,0.02759963353183692
userknn,4,hit_rate@10,0.06495648190563445
userknn,4,precision@5,0.005767292716445259
userknn,4,precision@10,0.007267521759047183
userknn,4,recall@5,0.010631435057863438
userknn,4,recall@10,0.02557443218755706
userknn,4,f1@5,0.0070890439723226666
userknn,4,f1@10,0.010862328949356048
userknn,4,mrr@5,0.00996602534738128
userknn,4,mrr@10,0.014746171716510699
userknn,4,map@5,0.003902267530639138
userknn,4,map@10,0.0060837858712227974
userknn,4,ndcg@5,0.007429905740477532
userknn,4,ndcg@10,0.013821259275383718
userknn,4,ndcg_burges@5,0.007429905740477532
userknn,4,ndcg_burges@10,0.013821259275383718
itemknn,4,hits@5,0.10781035272560696
itemknn,4,hits@10,0.15290884104443425
itemknn,4,hit_rate@5,0.08371507100320659
itemknn,4,hit_rate@10,0.1179111314704535
itemknn,4,precision@5,0.021562070545121395
itemknn,4,precision@10,0.015290884104443427
itemknn,4,recall@5,0.03298072619146896
itemknn,4,recall@10,0.0437747939192051
itemknn,4,f1@5,0.02482582668377429
itemknn,4,f1@10,0.021451395752322543
itemknn,4,mrr@5,0.0376370438234845
itemknn,4,mrr@10,0.04216158955565735
itemknn,4,map@5,0.016078733788959364
itemknn,4,map@10,0.018046305539147118
itemknn,4,ndcg@5,0.02710884363585786
itemknn,4,ndcg@10,0.03197997668029261
itemknn,4,ndcg_burges@5,0.02710884363585786
itemknn,4,ndcg_burges@10,0.03197997668029261
