game_id	context_id	context_name	context_weight
150	20	social_companion:family	0.56
173	1	playing_time:very_short	0.137931
173	4	playing_time:long	0.310345
173	5	playing_time:very_long	0.103448
173	6	gaming_mood:party	0.172414
173	7	gaming_mood:easy-going	0.896552
173	8	gaming_mood:expert	0.0689655
173	9	gaming_mood:intense	0.275862
173	10	gaming_mood:cooperative	0.137931
173	11	gaming_mood:competitive	0.0689655
173	12	gaming_mood:thematic	0.103448
173	14	social_companion:1-player	0.0344828
173	15	social_companion:2-players	0.206897
173	16	social_companion:large-group	1.0
173	18	social_companion:preschoolers	0.0344828
173	19	social_companion:children	0.551724
173	20	social_companion:family	0.413793
173	21	social_companion:friends	0.0344828
220	1	playing_time:very_short	0.537634
220	2	playing_time:short	0.0215054
220	6	gaming_mood:party	0.0143369
220	7	gaming_mood:easy-going	0.175627
220	8	gaming_mood:expert	0.0179211
220	9	gaming_mood:intense	0.078853
220	11	gaming_mood:competitive	1.0
220	14	social_companion:1-player	0.00358423
220	15	social_companion:2-players	0.00716846
220	19	social_companion:children	0.00716846
220	20	social_companion:family	0.0250896
372	1	playing_time:very_short	0.244898
372	2	playing_time:short	0.0612245
372	7	gaming_mood:easy-going	0.285714
372	9	gaming_mood:intense	0.0816327
372	15	social_companion:2-players	1.0
372	19	social_companion:children	0.0612245
372	20	social_companion:family	0.0816327
432	1	playing_time:very_short	1.0
432	2	playing_time:short	0.0326531
432	4	playing_time:long	0.00816326
432	5	playing_time:very_long	0.00408163
432	6	gaming_mood:party	0.142857
432	7	gaming_mood:easy-going	0.665306
432	8	gaming_mood:expert	0.0122449
432	9	gaming_mood:intense	0.0857143
432	11	gaming_mood:competitive	0.0326531
432	15	social_companion:2-players	0.0571429
432	16	social_companion:large-group	0.330612
432	19	social_companion:children	0.0571429
432	20	social_companion:family	0.195918
438	1	playing_time:very_short	0.0689655
438	2	playing_time:short	0.0172414
438	4	playing_time:long	0.0344828
438	6	gaming_mood:party	0.103448
438	7	gaming_mood:easy-going	0.310345
438	8	gaming_mood:expert	0.0517241
438	9	gaming_mood:intense	1.0
438	10	gaming_mood:cooperative	0.603448
438	11	gaming_mood:competitive	0.0172414
438	12	gaming_mood:thematic	0.0172414
438	14	social_companion:1-player	0.0344828
438	15	social_companion:2-players	0.5
438	16	social_companion:large-group	0.0862069
438	19	social_companion:children	0.87931
438	20	social_companion:family	0.689655
438	21	social_companion:friends	0.0172414
478	1	playing_time:very_short	0.515556
478	2	playing_time:short	0.102222
